model,partition,accuracy,macro_f1,recall_0,recall_1,n,threshold
No_additional_training,validation,0.45294117647058824,0.3117408906882591,0.0,1.0,170,0.5
No_additional_training,test,0.4542857142857143,0.31237721021611004,0.0,1.0,350,0.5
Scratch,validation,0.9470588235294117,0.946071692925875,0.989247311827957,0.8961038961038961,170,0.5
Scratch,test,0.8942857142857142,0.8929566288364096,0.9214659685863874,0.8616352201257862,350,0.5
Continue_all_layers,validation,0.45294117647058824,0.3117408906882591,0.0,1.0,170,0.5
Continue_all_layers,test,0.4542857142857143,0.31237721021611004,0.0,1.0,350,0.5
Fine_tune_head,validation,0.9588235294117647,0.958407605466429,0.967741935483871,0.948051948051948,170,0.5
Fine_tune_head,test,0.8885714285714286,0.888497700520344,0.837696335078534,0.949685534591195,350,0.5
