model,partition,accuracy,macro_f1,recall_0,recall_1,n,threshold
Original_shared_no_update,validation,0.9235294117647059,0.9233995355446951,0.8817204301075269,0.974025974025974,170,0.5
Original_shared_no_update,test,0.9057142857142857,0.9057135160287022,0.8324607329842932,0.9937106918238994,350,0.5
Scratch_same_architecture,validation,0.9294117647058824,0.928421052631579,0.956989247311828,0.8961038961038961,170,0.5
Scratch_same_architecture,test,0.8828571428571429,0.8815332161048781,0.9057591623036649,0.8553459119496856,350,0.5
Continue_all_layers,validation,0.9529411764705882,0.952520597681888,0.956989247311828,0.948051948051948,170,0.5
Continue_all_layers,test,0.9171428571428571,0.9166468206715885,0.9109947643979057,0.9245283018867925,350,0.5
Fine_tune_head,validation,0.9352941176470588,0.9350220646999549,0.9139784946236559,0.961038961038961,170,0.5
Fine_tune_head,test,0.9228571428571428,0.9227151911674504,0.8848167539267016,0.9685534591194969,350,0.5
